title,artist,genre,bpm,lyrics,lyrics_tfidf
Shape of You,Ed Sheeran,Pop,0.3055555555555556,The club isn't the best place to find...,"0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Blinding Lights,The Weeknd,R&B,1.0,"I said, ooh, I'm blinded by the lights...","0.0,0.0,0.0,0.0,0.5161226021950446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5161226021950446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44816557042040533,0.0,0.0,0.0,0.0,0.0,0.5161226021950446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Rolling in the Deep,Adele,Soul,0.38888888888888895,There's a fire starting in my heart...,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0"
Someone Like You,Adele,Soul,0.03703703703703709,"Nevermind, I'll find someone like you...","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Levitating,Dua Lipa,Pop,0.37037037037037035,If you wanna run away with me...,"0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,0.0,0.0"
Believer,Imagine Dragons,Rock,0.5740740740740742,"First things first, I'ma say all the words...","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5270105816992888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40838650850748226,0.0,0.0,0.0,0.0,0.5270105816992888,0.0,0.0,0.0,0.5270105816992888"
Closer,The Chainsmokers,Pop,0.2962962962962963,"So baby, pull me closer in the backseat...","0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Memories,Maroon 5,Pop,0.25,Here's to the ones that we got...,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Bad Guy,Billie Eilish,Electropop,0.6666666666666667,"White shirt now red, my bloody nose...","0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.447213595499958,0.0"
Senorita,Shawn Mendes & Camila Cabello,Latin Pop,0.5,I love it when you call me señorita...,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6556481547479347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7550665514877668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Perfect,Ed Sheeran,Pop,0.0,I found a love for me...,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Sunflower,Post Malone,Hip-Hop,0.25,"Needless to say, I keep her in check...","0.0,0.0,0.0,0.0,0.0,0.0,0.620115518343534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620115518343534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48053458545567784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Dance Monkey,Tones and I,Electropop,0.32407407407407407,"They say, oh my God, I see the way you shine...","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46622769063894703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46622769063894703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612851532043594,0.0,0.46622769063894703,0.0,0.0,0.0,0.0,0.46622769063894703,0.0,0.0"
Uptown Funk,Mark Ronson & Bruno Mars,Funk,0.4814814814814814,"This hit, that ice cold, Michelle Pfeiffer...","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.447213595499958,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
Havana,Camila Cabello,Latin Pop,0.38888888888888895,"Havana, ooh na-na...","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416883857999725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83376771599945,0.0,0.0,0.0,0.0,0.0,0.36199343184141575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
